 840.0000000    1.3244520	26
 842.5000000    1.4512680	17
 845.0000000    1.5038240	26
 847.5000000    1.7215574	25
 850.0000000    1.7889222	20
 852.5000000    1.6507399	26
 855.0000000    1.8234416	22
 857.5000000    1.8495330	23
 860.0000000    1.5997672	14
 862.5000000    1.5298725	29
 865.0000000    1.3751373	29
 867.5000000    1.4907432	25
 870.0000000    1.4370637	20
 872.5000000    1.6413338	16
 875.0000000    1.6288228	24
 877.5000000    1.7793453	15
 880.0000000    2.0510254	17
 882.5000000    2.0698695	13
 885.0000000    1.7059443	19
 887.5000000    1.6145695	15
 890.0000000    1.6235380	12
 892.5000000    1.6895473	12
 895.0000000    1.7297440	18
 897.5000000    1.6095315	13
 900.0000000    1.7590569	16
 902.5000000    1.7717720	18
 905.0000000    1.8407763	9
 907.5000000    1.8273641	20
 910.0000000    1.7982533	15
 912.5000000    2.1433854	8
 915.0000000    2.1530707	8
 917.5000000    1.9214040	14
 920.0000000    1.8942735	4
 922.5000000    1.8813392	18
 925.0000000    1.9801365	21
 927.5000000    1.8477600	27
 930.0000000    1.7295853	29
 932.5000000    1.7366487	20
 935.0000000    1.9427056	14
 937.5000000    1.8885864	20
 940.0000000    2.2005820	17
 942.5000000    1.9777391	22
 945.0000000    2.0134389	14
 947.5000000    2.0012016	6
 950.0000000    1.8791817	15
 952.5000000    1.4646810	21
 955.0000000    1.6736511	17
 957.5000000    1.6901226	15
 960.0000000    1.7509214	16
 962.5000000    1.6515123	24
 965.0000000    1.5244708	17
 967.5000000    1.5770984	16
 970.0000000    1.8336607	16
 972.5000000    1.4856092	17
 975.0000000    1.6593711	7
 977.5000000    1.7795674	22
 980.0000000    1.7302858	12
 982.5000000    1.6053416	23
 985.0000000    1.3488712	17
 987.5000000    1.5855480	22
 990.0000000    1.5327505	20
 992.5000000    1.6985860	13
 995.0000000    1.5087456	21
 997.5000000    1.3758886	25
1000.0000000    1.3555219	19
1002.5000000    1.2737186	26
1005.0000000    1.3707914	32
1007.5000000    1.4446946	25
1010.0000000    1.3652334	34
1012.5000000    1.5742356	21
1015.0000000    1.6073489	26
1017.5000000    1.5615629	27
1020.0000000    1.6387652	14
1022.5000000    1.5908754	21
1025.0000000    1.6019132	32
1027.5000000    1.6801457	13
1030.0000000    1.8030248	8
1032.5000000    1.4644490	16
1035.0000000    1.4380352	44
1037.5000000    1.5279858	11
1040.0000000    1.3907659	22
1042.5000000    1.5536389	14
1045.0000000    1.6585190	13
1047.5000000    1.5671875	22
1050.0000000    1.6602050	13
1052.5000000    1.6537075	8
1055.0000000    1.6992152	11
1057.5000000    1.3661687	30
1060.0000000    1.5467143	31
1062.5000000    1.6144158	21
1065.0000000    1.6443638	32
1067.5000000    1.2588494	36
